line,expression
A,0.4
A,1.5
A,0.98
A,0.33
A,0.75
A,1.48
A,1.18
A,0.33
A,1.42
A,2.09
A,1.37
A,1.23
B,0.26
B,0.47
B,0.42
B,0.64
B,0.32
B,0.65
B,0.43
B,0.67
B,0.43
B,0.7
B,0.79
B,0.89
C,0.24
C,0.25
C,1.01
C,0.77
C,0.47
C,0.47
C,0.46
C,0.65
C,0.41
C,0.81
C,1.2
C,1.08
C,0.34
C,1.98
C,1.39
C,1.12
C,3.14
C,2.78
D,1.04
D,2.78
D,0.82
D,1.65
D,0.49
D,0.97
D,1.39
D,3.24
D,1.12
D,2.82
D,1.27
D,1.6
D,1.98
D,9.32
D,2.31
D,4.19
D,1.73
D,5.16
E,0.74
E,0.99
E,1.26
E,1.5
E,0.3
E,0.34
E,0.77
E,1.94
E,2.62
E,1.42
E,0.73
E,2.09
E,1.52
E,1.67
E,3.4
E,2.16
E,2.31
E,1.32
